identifier,identifier_type_genome1,identifier_type_genome2,record_id_genome1,record_id_genome2,supporting_types_genome1,supporting_types_genome2,start_genome1,start_genome2,end_genome1,end_genome2,strand_genome1,strand_genome2,start_difference_bp,position_match_within_threshold,status
2Fe-2S iron-sulfur cluster-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3369419,3369471,3369818,3369870,1,1,52,True,matched
2TM domain-containing protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,76759,76757,77275,77273,1,1,2,True,matched
2TM domain-containing protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,321278,321272,321518,321512,-1,-1,6,True,matched
"3'(2'),5'-bisphosphate nucleotidase CysQ",standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,782806,782823,783646,783663,1,1,17,True,matched
30S ribosomal protein PSRP-3,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3562957,3563025,3563257,3563325,1,1,68,True,matched
30S ribosomal protein S1,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3729993,3730051,3731001,3731059,-1,-1,58,True,matched
4'-phosphopantetheinyl transferase superfamily protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2085854,2085847,2086604,2086597,-1,-1,7,True,matched
4-hydroxybenzoate solanesyltransferase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2107350,2107344,2108226,2108221,-1,-1,6,True,matched
4a-hydroxytetrahydrobiopterin dehydratase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3756014,3756072,3756293,3756351,1,1,58,True,matched
50S ribosomal protein L23,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3887478,3887532,3887805,3887859,1,1,54,True,matched
5S,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,rRNA,rRNA,3461449,3461507,3461566,3461624,1,1,58,True,matched
6-carboxytetrahydropterin synthase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1637147,1637131,1638056,1638040,-1,-1,16,True,matched
7-carboxy-7-deazaguanine synthase QueE,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3779564,3779623,3780353,3780412,-1,-1,59,True,matched
A24 family peptidase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4004256,4004311,4005105,4005160,-1,-1,55,True,matched
AAA family ATPase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,149755,149751,155191,155187,-1,-1,4,True,matched
AAA family ATPase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,383757,383754,385134,385131,1,1,3,True,matched
AAA family ATPase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,445391,445388,446330,446327,1,1,3,True,matched
AAA family ATPase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,961583,961603,963047,963067,-1,-1,20,True,matched
AAA family ATPase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1031756,1031779,1033178,1033201,-1,-1,23,True,matched
AAA family ATPase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1102591,1102615,1108807,1108831,1,1,24,True,matched
AAA family ATPase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1115352,1115376,1121139,1121163,1,1,24,True,matched
AAA family ATPase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1488755,1488734,1490267,1490246,1,1,21,True,matched
AAA family ATPase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2298166,2298173,2299507,2299514,-1,-1,7,True,matched
AAA family ATPase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2550907,2550934,2556310,2556337,-1,-1,27,True,matched
AAA family ATPase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2975540,2975594,2976932,2976986,1,1,54,True,matched
AAA family ATPase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3661076,3661139,3666500,3666563,-1,-1,63,True,matched
AAA family ATPase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3993708,3993764,3996078,3996134,1,1,56,True,matched
AAA family ATPase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4534091,4534076,4534637,4534622,1,1,15,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,77346,77344,78186,78184,-1,-1,2,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,375218,375215,376013,376010,1,1,3,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,398395,398395,399370,399370,-1,-1,0,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,468101,468102,468866,468867,-1,-1,1,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,753603,753616,755379,755392,1,1,13,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,837026,837039,837668,837681,1,1,13,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1061585,1061603,1062428,1062446,-1,-1,18,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1073467,1073486,1075294,1075313,1,1,19,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1356415,1356451,1357525,1357561,-1,-1,36,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2136792,2136788,2138022,2138018,1,1,4,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2854901,2854951,2855630,2855680,-1,-1,50,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2935742,2935788,2936405,2936451,1,1,46,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3206766,3206820,3207852,3207906,-1,-1,54,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3462703,3462761,3464140,3464198,1,1,58,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3481558,3481619,3482353,3482415,1,1,61,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3652577,3652642,3653390,3653455,1,1,65,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3786612,3786671,3787536,3787595,1,1,59,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4315485,4315470,4316121,4316106,-1,-1,15,True,matched
ABC transporter ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4324054,4324038,4325974,4325958,-1,-1,16,True,matched
ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,376279,376276,377113,377110,1,1,3,True,matched
ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,490985,490984,492707,492706,-1,-1,1,True,matched
ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1733481,1733464,1734279,1734262,-1,-1,17,True,matched
ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1869213,1869205,1870032,1870024,-1,-1,8,True,matched
ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2408718,2408726,2409924,2409932,1,1,8,True,matched
ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2964041,2964093,2965004,2965056,1,1,52,True,matched
ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2989758,2989813,2990625,2990680,-1,-1,55,True,matched
ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3069299,3069352,3070112,3070165,-1,-1,53,True,matched
ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3156981,3157035,3157740,3157794,-1,-1,54,True,matched
ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3303022,3303077,3303910,3303965,-1,-1,55,True,matched
ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3461744,3461802,3462551,3462609,1,1,58,True,matched
ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3480552,3480613,3481410,3481471,1,1,61,True,matched
ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4102213,4102269,4103020,4103076,1,1,56,True,matched
ABC transporter permease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4268197,4268179,4269262,4269244,1,1,18,True,matched
ABC transporter substrate-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,474964,474965,476023,476024,-1,-1,1,True,matched
ABC transporter substrate-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1647846,1647832,1648893,1648879,1,1,14,True,matched
ABC transporter substrate-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1824604,1824592,1826134,1826122,-1,-1,12,True,matched
ABC transporter substrate-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1851853,1851841,1853167,1853155,-1,-1,12,True,matched
ABC transporter substrate-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2358564,2358571,2360346,2360353,1,1,7,True,matched
ABC transporter substrate-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2377534,2377540,2378875,2378881,1,1,6,True,matched
ABC transporter substrate-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2477246,2477263,2478461,2478478,1,1,17,True,matched
ABC transporter substrate-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2958358,2958409,2959372,2959423,-1,-1,51,True,matched
ABC transporter substrate-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4100687,4100743,4102010,4102066,1,1,56,True,matched
ABC1 kinase family protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1448056,1448037,1449739,1449720,-1,-1,19,True,matched
ABC1 kinase family protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2094398,2094392,2095889,2095883,-1,-1,6,True,matched
ABC1 kinase family protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2262308,2262312,2264318,2264322,-1,-1,4,True,matched
ABC1 kinase family protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4509966,4509953,4511718,4511705,1,1,13,True,matched
AEC family transporter,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3231518,3231571,3232439,3232492,1,1,53,True,matched
AI-2E family transporter,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,26686,26685,27859,27858,-1,-1,1,True,matched
AI-2E family transporter,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2455689,2455706,2456877,2456894,-1,-1,17,True,matched
ATP synthase subunit I,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1508951,1508932,1509389,1509370,-1,-1,19,True,matched
ATP-binding cassette domain-containing protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1702211,1702193,1703942,1703924,-1,-1,18,True,matched
ATP-binding cassette domain-containing protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2531150,2531177,2533394,2533421,1,1,27,True,matched
ATP-binding cassette domain-containing protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2822319,2822363,2823048,2823092,-1,-1,44,True,matched
ATP-binding cassette domain-containing protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2990689,2990744,2991706,2991761,-1,-1,55,True,matched
ATP-binding cassette domain-containing protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3698877,3698935,3699660,3699718,1,1,58,True,matched
ATP-binding cassette domain-containing protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3765008,3765068,3766013,3766073,1,1,60,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,143133,143128,144273,144268,1,1,5,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,510796,510793,511408,511405,-1,-1,3,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,523909,523906,526354,526351,1,1,3,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,651417,651420,653310,653313,-1,-1,3,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,856978,856992,858457,858471,1,1,14,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,861570,861586,863826,863842,-1,-1,16,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,924467,924483,926243,926259,-1,-1,16,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1055483,1055500,1057148,1057165,-1,-1,17,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1171369,1171399,1173856,1173886,1,1,30,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1174789,1174819,1177603,1177633,1,1,30,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1746840,1746826,1747281,1747267,1,1,14,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1819027,1819015,1821496,1821484,1,1,12,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2453352,2453369,2454774,2454791,-1,-1,17,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2956019,2956070,2958371,2958422,-1,-1,51,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2979788,2979842,2981351,2981405,1,1,54,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3158884,3158938,3161338,3161392,1,1,54,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3180907,3180962,3182575,3182630,-1,-1,55,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3290411,3290464,3290993,3291046,1,1,53,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3669626,3669688,3670940,3671002,1,1,62,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3826963,3827018,3828493,3828548,-1,-1,55,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3905427,3905483,3907575,3907631,-1,-1,56,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4070270,4070327,4072412,4072469,1,1,57,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4209042,4209022,4211301,4211281,-1,-1,20,True,matched
ATP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,4313645,4313630,4315409,4315394,1,1,15,True,matched
ATP-dependent Clp protease ATP-binding subunit,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3656306,3656371,3658796,3658861,-1,-1,65,True,matched
ATP-dependent Clp protease proteolytic subunit,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2773780,2773827,2774431,2774478,1,1,47,True,matched
ATP-dependent Clp protease proteolytic subunit,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2774511,2774558,2775108,2775155,1,1,47,True,matched
ATP-dependent DNA helicase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2924154,2924201,2925732,2925779,-1,-1,47,True,matched
ATP-dependent DNA helicase RecQ,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3654655,3654720,3656104,3656169,1,1,65,True,matched
ATP-dependent Zn protease,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3205812,3205866,3206535,3206589,1,1,54,True,matched
ATP-grasp domain-containing protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,251913,251915,253257,253259,-1,-1,2,True,matched
ATP/GTP-binding protein,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2799707,2799753,2800817,2800863,-1,-1,46,True,matched
AbrB family transcriptional regulator,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3287618,3287670,3288011,3288063,1,1,52,True,matched
Adaptive-response sensory-kinase SasA,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1664990,1664974,1666763,1666747,1,1,16,True,matched
Adaptive-response sensory-kinase SasA,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3142015,3142069,3144199,3144253,1,1,54,True,matched
AmpG family muropeptide MFS transporter,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,792554,792570,793769,793785,-1,-1,16,True,matched
ArnT family glycosyltransferase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,946534,946553,948181,948200,1,1,19,True,matched
ArnT family glycosyltransferase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,2810872,2810917,2812504,2812549,-1,-1,45,True,matched
ArnT family glycosyltransferase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3026002,3026057,3027892,3027947,-1,-1,55,True,matched
ArsA family ATPase,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,3941685,3941740,3942792,3942847,1,1,55,True,matched
ArsB/NhaD family transporter,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,1619841,1619825,1621203,1621187,1,1,16,True,matched
ArsR/SmtB family transcription factor,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,235008,235011,235344,235347,-1,-1,3,True,matched
ArsR/SmtB family transcription factor,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,266986,266988,267382,267384,-1,-1,2,True,matched
ArsR/SmtB family transcription factor,standard_name,standard_name,Limnothrix_sp_HT2024_Bactopia,Limnothrix_sp_HT2024_bacass,CDS,CDS,502014,502012,502437,502435,1,1,2,True,matched
