/home/mi/work/genome1.fna /home/mi/work/genome2.fna
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
148497	148646	3180693	3180842	150	150	92.67	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
148501	148647	1153055	1153201	147	147	96.60	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
148501	148647	1455056	1454910	147	147	97.28	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
148504	148647	4056223	4056366	144	144	93.75	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
148678	206765	144333	202452	58088	58120	98.77	4539749	4536413	1.28	1.28	CorrectedCP166615.1	FinalAssembly_Ba.1
152931	153078	202454	202601	148	148	98.65	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
152941	153058	1931333	1931450	118	118	92.50	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
152943	153046	3270422	3270525	104	104	92.31	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
152943	153051	3270550	3270658	109	109	91.74	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
153901	154079	4034865	4035043	179	179	93.89	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
153901	154079	4260605	4260784	179	180	92.82	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
153902	154076	803359	803533	175	175	91.43	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
153902	154083	1278016	1277836	182	181	92.35	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
153903	154077	1210167	1209993	175	175	93.71	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
153903	154064	1593982	1594143	162	162	94.44	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
153903	154077	2437893	2437719	175	175	95.43	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
177329	177452	894564	894441	124	124	92.74	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
177331	177444	2530894	2530781	114	114	92.98	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
180356	180493	2699041	2698904	138	138	88.41	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
180361	180490	441857	441728	130	130	99.23	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
180361	180490	649712	649841	130	130	96.92	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
180361	180490	3117592	3117721	130	130	94.62	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
180361	180490	3530157	3530286	130	130	98.46	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
180361	180490	4442478	4442349	130	130	87.69	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
180362	180490	4239503	4239375	129	129	96.12	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
188397	188474	960620	960543	78	78	97.44	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
188399	188474	3957453	3957378	76	76	97.37	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
204722	204861	3233715	3233576	140	140	95.00	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
204722	204803	4306798	4306717	82	82	93.90	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
204722	204801	4503779	4503858	80	80	95.00	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
206767	211600	202598	207431	4834	4834	98.90	4539749	4536413	0.11	0.11	CorrectedCP166615.1	FinalAssembly_Ba.1
211486	211593	1302940	1303047	108	108	89.81	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
211513	220625	207434	216559	9113	9126	98.73	4539749	4536413	0.20	0.20	CorrectedCP166615.1	FinalAssembly_Ba.1
215214	215348	3379294	3379432	135	139	93.53	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
215217	215348	2230312	2230447	132	136	94.85	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
215217	215349	3848561	3848429	133	133	90.23	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
215218	215350	2474234	2474370	133	137	93.43	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
215218	215350	3104499	3104635	133	137	90.51	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
215218	215351	3423689	3423826	134	138	92.03	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
215221	215348	757540	757671	128	132	93.18	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
215221	215348	1619545	1619414	128	132	93.94	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
215221	215348	3140072	3139945	128	128	96.09	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
215221	215348	3233580	3233711	128	132	93.18	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
215221	215348	3573931	3574062	128	132	93.94	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
215221	215348	3763690	3763817	128	128	98.44	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
215221	215350	4309403	4309270	130	134	91.04	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
215225	215350	48446	48317	126	130	93.85	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
215262	215350	3706099	3706187	89	89	93.26	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
215262	215348	4094966	4095052	87	87	94.25	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
215273	215348	2742227	2742302	76	76	94.74	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
220622	220800	1593979	1594157	179	179	91.62	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
220622	220801	2437896	2437717	180	180	93.33	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
220625	220799	149558	149732	175	175	92.05	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
220625	220798	803360	803533	174	174	92.53	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
220625	220799	1210167	1209993	175	175	92.00	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
220625	220798	1278015	1277842	174	174	97.13	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
220625	220799	4034867	4035041	175	175	96.00	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
220625	220799	4260607	4260782	175	176	96.02	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
220799	234850	216557	230688	14052	14132	98.31	4539749	4536413	0.31	0.31	CorrectedCP166615.1	FinalAssembly_Ba.1
228588	228730	1397628	1397486	143	143	99.30	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228590	228727	718325	718462	138	138	95.65	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228591	228727	2246	2110	137	137	96.35	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228591	228731	847814	847674	141	141	95.74	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228591	228727	1917594	1917730	137	137	93.43	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228592	228731	1836247	1836386	140	140	97.86	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228592	228730	3870252	3870390	139	139	98.56	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228593	228732	3959507	3959368	140	140	96.43	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228595	228731	601528	601393	137	136	90.51	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228595	228727	635410	635278	133	133	95.49	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228595	228732	1246690	1246827	138	138	96.38	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228595	228727	1797335	1797203	133	133	94.74	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228595	228660	2432426	2432491	66	66	100.00	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228595	228732	2899718	2899581	138	138	96.38	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228595	228727	2960772	2960640	133	133	100.00	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228595	228731	4303328	4303192	137	137	98.54	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228595	228727	4362019	4362151	133	133	96.99	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228597	228727	3073217	3073347	131	131	92.37	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
228598	228734	326188	326324	137	137	97.08	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
229354	234848	225179	230686	5495	5508	99.00	4539749	4536413	0.12	0.12	CorrectedCP166615.1	FinalAssembly_Ba.1
234847	235025	1277838	1278016	179	179	88.40	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
234847	235026	4035044	4034865	180	180	88.33	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
234847	235026	4260785	4260605	180	181	88.95	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
234850	235024	1209993	1210167	175	175	87.57	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
234850	235024	1594156	1593982	175	175	86.29	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
234850	235024	2437719	2437893	175	175	87.43	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
234932	235024	880464	880372	93	93	92.47	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
235024	244101	230686	239748	9078	9063	97.64	4539749	4536413	0.20	0.20	CorrectedCP166615.1	FinalAssembly_Ba.1
244167	245077	1728368	1727458	911	911	99.56	4539749	4536413	0.02	0.02	CorrectedCP166615.1	FinalAssembly_Ba.1
244168	245077	2944477	2945386	910	910	99.34	4539749	4536413	0.02	0.02	CorrectedCP166615.1	FinalAssembly_Ba.1
244692	244838	113063	112916	147	148	95.27	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
247713	249360	242229	243867	1648	1639	88.16	4539749	4536413	0.04	0.04	CorrectedCP166615.1	FinalAssembly_Ba.1
247713	248511	242331	243126	799	796	84.47	4539749	4536413	0.02	0.02	CorrectedCP166615.1	FinalAssembly_Ba.1
247733	248429	242453	243146	697	694	86.04	4539749	4536413	0.02	0.02	CorrectedCP166615.1	FinalAssembly_Ba.1
247733	248315	242555	243134	583	580	84.98	4539749	4536413	0.01	0.01	CorrectedCP166615.1	FinalAssembly_Ba.1
247733	248123	242756	243146	391	391	86.80	4539749	4536413	0.01	0.01	CorrectedCP166615.1	FinalAssembly_Ba.1
247743	248647	242157	243059	905	903	85.37	4539749	4536413	0.02	0.02	CorrectedCP166615.1	FinalAssembly_Ba.1
247771	247969	242083	242281	199	199	85.00	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
247975	248282	242083	242390	308	308	88.67	4539749	4536413	0.01	0.01	CorrectedCP166615.1	FinalAssembly_Ba.1
248179	248633	242083	242537	455	455	85.12	4539749	4536413	0.01	0.01	CorrectedCP166615.1	FinalAssembly_Ba.1
250331	259336	245239	254259	9006	9021	98.85	4539749	4536413	0.20	0.20	CorrectedCP166615.1	FinalAssembly_Ba.1
268695	287609	254344	273253	18915	18910	98.96	4539749	4536413	0.42	0.42	CorrectedCP166615.1	FinalAssembly_Ba.1
287775	294224	273256	279676	6450	6421	98.28	4539749	4536413	0.14	0.14	CorrectedCP166615.1	FinalAssembly_Ba.1
297028	297117	279731	279820	90	90	95.56	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
297658	298063	280372	280764	406	393	89.90	4539749	4536413	0.01	0.01	CorrectedCP166615.1	FinalAssembly_Ba.1
298188	315777	280929	298579	17590	17651	98.45	4539749	4536413	0.39	0.39	CorrectedCP166615.1	FinalAssembly_Ba.1
315804	334544	298729	317439	18741	18711	98.58	4539749	4536413	0.41	0.41	CorrectedCP166615.1	FinalAssembly_Ba.1
334529	334698	2999804	2999973	170	170	88.89	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
334534	334697	110211	110049	164	163	83.13	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
334534	334695	2086936	2086775	162	162	92.59	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
334534	334688	4467892	4468046	155	155	92.31	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
334537	334688	1719505	1719354	152	152	94.08	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
334540	334690	2544051	2543901	151	151	97.35	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
334540	334692	2724656	2724503	153	154	90.26	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
334543	334688	2530927	2530782	146	146	90.41	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
334543	334695	2668527	2668375	153	153	96.08	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
334688	334777	317439	317532	90	94	92.55	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
334722	361901	317397	344436	27180	27040	97.57	4539749	4536413	0.60	0.60	CorrectedCP166615.1	FinalAssembly_Ba.1
336682	336805	3753068	3753191	124	124	92.74	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
336685	336805	45849	45729	121	121	96.69	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
336685	336805	1301277	1301397	121	121	91.74	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
336686	336805	2239335	2239454	120	120	93.33	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
336686	336805	3365506	3365625	120	120	91.67	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
336687	336805	1836387	1836505	119	119	95.80	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
336688	336805	1946509	1946626	118	118	95.76	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
336695	336805	471911	471801	111	111	96.40	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
343642	343782	2960777	2960637	141	141	97.87	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
343643	343788	2899722	2899577	146	146	94.52	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
343643	343783	4303332	4303192	141	141	97.16	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
343644	343782	2245	2107	139	139	94.96	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
343645	343784	1246688	1246827	140	140	96.43	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
343650	343786	224346	224482	137	137	97.08	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
343650	343779	635407	635278	130	130	93.85	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
343650	343783	847807	847674	134	134	94.78	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
343650	343779	1397618	1397489	130	130	97.69	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
343650	343779	1797332	1797203	130	130	93.08	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
343650	343783	1836253	1836386	134	134	95.52	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
343650	343779	1917601	1917730	130	130	92.31	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
343650	343779	3870258	3870387	130	130	96.92	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
343650	343784	3959502	3959368	135	135	94.07	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
343650	343779	4362022	4362151	130	130	95.38	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
344145	344291	437913	437767	147	147	94.56	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
344146	344291	1525157	1525012	146	146	93.15	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
344146	344259	1704708	1704595	114	114	95.61	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
344146	344291	1871757	1871898	146	142	90.41	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
344146	344291	2899439	2899584	146	146	90.41	4539749	4536413	0.00	0.00	CorrectedCP166615.1	FinalAssembly_Ba.1
