[START] Reading GenBank input...
[START] Loaded 1 record(s).
[RECORD] Processing record 1/1: 1
[CHANGED] standard_name=dnaA CDS | location=635-2054(+) | final_gene=dnaA | final_product=chromosomal replication initiator protein DnaA | resolution=no_change
[UNRESOLVED] standard_name=YccF domain-containing protein CDS | location=35269-35650(-) | final_gene=unknown_gene | final_product=YccF domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=glycosyltransferase CDS | location=36443-40391(-) | final_gene=ftsW | final_product=glycosyltransferase | resolution=uniprot_product_to_gene:ftsW:78,spoVE:3
[UNRESOLVED] standard_name=inositol monophosphatase family protein CDS | location=40400-41495(+) | final_gene=unknown_gene | final_product=inositol monophosphatase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=STAS domain-containing protein CDS | location=41842-42220(+) | final_gene=unknown_gene | final_product=STAS domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=Mini-ribonuclease 3 CDS | location=42297-42741(+) | final_gene=mrnC | final_product=Mini-ribonuclease 3 | resolution=uniprot_product_to_gene:mrnC:1000
[UNCHANGED] standard_name=rlmB CDS | location=42737-44501(+) | final_gene=rlmB | final_product=23S rRNA (guanosine-2'-O-)-methyltransferase RlmB | resolution=no_change
[CHANGED] standard_name=rlmB gene | location=42737-44501(+) | final_gene=rlmB | final_product=rlmB gene | resolution=no_change
[UNRESOLVED] standard_name=S-layer homology domain-containing protein CDS | location=44680-45703(+) | final_gene=unknown_gene | final_product=S-layer homology domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=sugar O-acetyltransferase CDS | location=49035-49629(+) | final_gene=unknown_gene | final_product=sugar O-acetyltransferase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF2927 domain-containing protein CDS | location=49885-50722(-) | final_gene=unknown_gene | final_product=DUF2927 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=thioredoxin family protein CDS | location=50983-51574(-) | final_gene=trxA | final_product=thioredoxin family protein | resolution=uniprot_product_to_gene:trxA:5,txlA:5
[UNRESOLVED] standard_name=CHAT domain-containing protein CDS | location=51809-54422(+) | final_gene=unknown_gene | final_product=CHAT domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=type ISP restriction/modification enzyme CDS | location=54671-57827(+) | final_gene=unknown_gene | final_product=type ISP restriction/modification enzyme | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF1816 domain-containing protein CDS | location=58072-58357(-) | final_gene=unknown_gene | final_product=DUF1816 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=isochorismate synthase MenF CDS | location=58966-60436(-) | final_gene=menF | final_product=isochorismate synthase MenF | resolution=uniprot_product_to_gene:menF:35
[CHANGED] standard_name=menA CDS | location=60726-61653(+) | final_gene=menA | final_product=2-carboxy-1,4-naphthoquinone phytyltransferase | resolution=uniprot_product_to_gene:menA:980,ubiA:5
[CHANGED] standard_name=menA gene | location=60726-61653(+) | final_gene=menA | final_product=menA gene | resolution=no_change
[CHANGED] standard_name=o-succinylbenzoate synthase CDS | location=61689-62667(+) | final_gene=menC | final_product=o-succinylbenzoate synthase | resolution=uniprot_product_to_gene:menC:915,ykfB:20
[UNRESOLVED] standard_name=AMP-binding protein CDS | location=62648-64112(+) | final_gene=unknown_gene | final_product=AMP-binding protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=menE 2 CDS | location=63545-64112(+) | final_gene=menE | final_product=2-succinylbenzoate--CoA ligase | resolution=uniprot_product_to_gene:menE:110
[UNRESOLVED] standard_name=DUF928 domain-containing protein CDS | location=64249-64984(+) | final_gene=unknown_gene | final_product=DUF928 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=CHAT domain-containing protein CDS | location=64963-67567(-) | final_gene=unknown_gene | final_product=CHAT domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=filamentous hemagglutinin N-terminal domain-containing protein CDS | location=67563-70596(-) | final_gene=unknown_gene | final_product=filamentous hemagglutinin N-terminal domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF1822 family protein CDS | location=70735-71929(-) | final_gene=unknown_gene | final_product=DUF1822 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=S-layer homology domain-containing protein CDS | location=73180-74128(-) | final_gene=unknown_gene | final_product=S-layer homology domain-containing protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=aroC CDS | location=74198-75554(-) | final_gene=aroC | final_product=Chorismate synthase | resolution=no_change
[UNRESOLVED] standard_name=alpha/beta fold hydrolase CDS | location=75685-76558(-) | final_gene=unknown_gene | final_product=alpha/beta fold hydrolase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=2TM domain-containing protein CDS | location=76759-77275(+) | final_gene=unknown_gene | final_product=2TM domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=ABC transporter ATP-binding protein CDS | location=77346-78186(-) | final_gene=cbiO | final_product=ABC transporter ATP-binding protein | resolution=uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
[CHANGED] standard_name=yvcK CDS | location=78943-80281(+) | final_gene=yvcK | final_product=uridine diphosphate-N-acetylglucosamine-binding protein YvcK | resolution=no_change
[UNRESOLVED] standard_name=iron uptake porin CDS | location=80810-82478(+) | final_gene=unknown_gene | final_product=iron uptake porin | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=cynS CDS | location=82951-83401(-) | final_gene=cynS | final_product=Cyanate hydratase | resolution=no_change
[CHANGED] standard_name=ABC transporter ATP-binding protein CDS | location=83473-84355(-) | final_gene=nrtD | final_product=ABC transporter ATP-binding protein | resolution=no_change
[UNCHANGED] standard_name=nrtB CDS | location=84358-85189(-) | final_gene=nrtB | final_product=Nitrate import permease protein NrtB | resolution=no_change
[CHANGED] standard_name=ABC transporter substrate-binding protein CDS | location=85203-86781(-) | final_gene=modA | final_product=ABC transporter substrate-binding protein | resolution=uniprot_product_to_gene:modA:126,proX:12,zam:6,urtA:5
[CHANGED] standard_name=response regulator CDS | location=87099-87876(-) | final_gene=rssB | final_product=response regulator | resolution=no_change
[CHANGED] standard_name=sensor histidine kinase CDS | location=88011-89280(+) | final_gene=tmoS | final_product=ATP-binding protein | resolution=no_change
[UNCHANGED] standard_name=aat CDS | location=89586-90192(+) | final_gene=aat | final_product=Leucyl/phenylalanyl-tRNA--protein transferase | resolution=no_change
[CHANGED] standard_name=aat gene | location=89586-90192(+) | final_gene=aat | final_product=aat gene | resolution=no_change
[UNRESOLVED] standard_name=DUF1517 domain-containing protein CDS | location=91520-92123(-) | final_gene=unknown_gene | final_product=DUF1517 domain-containing protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=purF CDS | location=93670-95155(-) | final_gene=purF | final_product=Amidophosphoribosyltransferase | resolution=no_change
[CHANGED] standard_name=purF gene | location=93670-95155(-) | final_gene=purF | final_product=purF gene | resolution=no_change
[CHANGED] standard_name=purL CDS | location=95494-97822(-) | final_gene=purL | final_product=phosphoribosylformylglycinamidine synthase subunit PurL | resolution=no_change
[UNRESOLVED] standard_name=helix-turn-helix domain-containing protein CDS | location=101874-102147(+) | final_gene=unknown_gene | final_product=helix-turn-helix domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=helix-turn-helix domain-containing protein CDS | location=102147-102411(+) | final_gene=unknown_gene | final_product=helix-turn-helix domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=helix-turn-helix domain-containing protein CDS | location=102411-102579(+) | final_gene=unknown_gene | final_product=helix-turn-helix domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=gyrB CDS | location=102580-104518(-) | final_gene=gyrB | final_product=DNA topoisomerase (ATP-hydrolyzing) subunit B | resolution=no_change
[CHANGED] standard_name=bioF CDS | location=104931-106176(-) | final_gene=bioF | final_product=8-amino-7-oxononanoate synthase | resolution=no_change
[CHANGED] standard_name=regulator of RpoS CDS | location=106162-108406(-) | final_gene=rssB 3 | final_product=adenylate/guanylate cyclase domain-containing protein | resolution=no_change
[UNCHANGED] standard_name=dapB CDS | location=109147-109981(+) | final_gene=dapB | final_product=4-hydroxy-tetrahydrodipicolinate reductase | resolution=no_change
[CHANGED] standard_name=dapB gene | location=109153-109981(+) | final_gene=dapB | final_product=dapB gene | resolution=no_change
[UNRESOLVED] standard_name=phosphate ABC transporter permease CDS | location=110307-111171(+) | final_gene=unknown_gene | final_product=phosphate ABC transporter permease | resolution=fallback_unknown_gene
[CHANGED] standard_name=tetratricopeptide repeat protein CDS | location=111471-112923(+) | final_gene=fxsT | final_product=tetratricopeptide repeat protein | resolution=uniprot_product_to_gene:fxsT:3
[CHANGED] standard_name=magnesium chelatase subunit H CDS | location=113233-117250(-) | final_gene=bchH | final_product=magnesium chelatase subunit H | resolution=uniprot_product_to_gene:bchH:10
[UNRESOLVED] standard_name=DUF5340 family protein CDS | location=118220-118499(-) | final_gene=unknown_gene | final_product=DUF5340 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=TVP38/TMEM64 family protein CDS | location=118899-119538(+) | final_gene=unknown_gene | final_product=TVP38/TMEM64 family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=histidine kinase CDS | location=119914-121111(+) | final_gene=sasA | final_product=histidine kinase | resolution=uniprot_product_to_gene:sasA:24,cikA:9,amt:6,hik2:6,CphB:5
[CHANGED] standard_name=clpS 1 CDS | location=121517-121805(-) | final_gene=clpS | final_product=ATP-dependent Clp protease adapter protein ClpS | resolution=uniprot_product_to_gene:clpS:930,clpS1:5
[CHANGED] standard_name=clpS gene | location=121517-121805(-) | final_gene=clpS | final_product=clpS gene | resolution=no_change
[UNCHANGED] standard_name=secF CDS | location=122474-123470(-) | final_gene=secF | final_product=Protein translocase subunit SecF | resolution=no_change
[CHANGED] standard_name=secF gene | location=122474-123470(-) | final_gene=secF | final_product=secF gene | resolution=no_change
[UNCHANGED] standard_name=secD CDS | location=123518-124934(-) | final_gene=secD | final_product=Protein translocase subunit SecD | resolution=no_change
[CHANGED] standard_name=secD gene | location=123518-124934(-) | final_gene=secD | final_product=secD gene | resolution=no_change
[UNRESOLVED] standard_name=GUN4 domain-containing protein CDS | location=125336-126476(+) | final_gene=unknown_gene | final_product=GUN4 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=glycosyltransferase family 39 protein CDS | location=126472-128158(+) | final_gene=unknown_gene | final_product=glycosyltransferase family 39 protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=SDR family oxidoreductase CDS | location=129223-129880(-) | final_gene=bdcA | final_product=SDR family oxidoreductase | resolution=uniprot_product_to_gene:bdcA:5
[UNCHANGED] standard_name=trpS CDS | location=129975-130995(-) | final_gene=trpS | final_product=Tryptophan--tRNA ligase | resolution=no_change
[CHANGED] standard_name=trpS gene | location=129975-130995(-) | final_gene=trpS | final_product=trpS gene | resolution=no_change
[CHANGED] standard_name=FAD-dependent thymidylate synthase CDS | location=131666-132389(-) | final_gene=thyX | final_product=FAD-dependent thymidylate synthase | resolution=uniprot_product_to_gene:thyX:500,thy1:35,THY1:5
[UNCHANGED] standard_name=dcd CDS | location=132457-133039(-) | final_gene=dcd | final_product=dCTP deaminase | resolution=no_change
[CHANGED] standard_name=dcd gene | location=132457-133039(-) | final_gene=dcd | final_product=dcd gene | resolution=no_change
[CHANGED] standard_name=cob(I)yrinic acid a,c-diamide adenosyltransferase CDS | location=133191-133722(-) | final_gene=cobO | final_product=cob(I)yrinic acid a,c-diamide adenosyltransferase | resolution=uniprot_product_to_gene:cobO:485,btuR:10
[UNRESOLVED] standard_name=Calx-beta domain-containing protein CDS | location=134029-136102(-) | final_gene=unknown_gene | final_product=Calx-beta domain-containing protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=ilvC CDS | location=136318-137311(+) | final_gene=ilvC | final_product=Ketol-acid reductoisomerase (NADP(+)) | resolution=no_change
[CHANGED] standard_name=ilvC gene | location=136318-137311(+) | final_gene=ilvC | final_product=ilvC gene | resolution=no_change
[CHANGED] standard_name=NAD(P)H-quinone oxidoreductase subunit 4 CDS | location=137786-139469(-) | final_gene=ndhD | final_product=NAD(P)H-quinone oxidoreductase subunit 4 | resolution=uniprot_product_to_gene:ndhD:10,nuoM:5
[CHANGED] standard_name=cation-translocating P-type ATPase CDS | location=139927-142900(-) | final_gene=pacL | final_product=cation-translocating P-type ATPase | resolution=no_change
[CHANGED] standard_name=ATP-binding protein CDS | location=143133-144273(+) | final_gene=chlL | final_product=ATP-binding protein | resolution=uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
[UNRESOLVED] standard_name=CIA30 family protein CDS | location=144396-145503(+) | final_gene=unknown_gene | final_product=CIA30 family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=clpB CDS | location=145582-148570(+) | final_gene=clpB | final_product=ATP-dependent chaperone ClpB | resolution=no_change
[CHANGED] standard_name=L-threonylcarbamoyladenylate synthase CDS | location=148856-149465(+) | final_gene=ywlC | final_product=L-threonylcarbamoyladenylate synthase | resolution=uniprot_product_to_gene:ywlC:20,rimN:10,sua5:10,tsaC:5
[UNRESOLVED] standard_name=AAA family ATPase CDS | location=149755-155191(-) | final_gene=unknown_gene | final_product=AAA family ATPase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=Fe(3+) ABC transporter substrate-binding protein CDS | location=155997-157095(-) | final_gene=unknown_gene | final_product=Fe(3+) ABC transporter substrate-binding protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=LD-carboxypeptidase CDS | location=157455-158535(+) | final_gene=unknown_gene | final_product=LD-carboxypeptidase | resolution=fallback_unknown_gene
[CHANGED] standard_name=sensor histidine kinase CDS | location=158546-159335(-) | final_gene=sasA | final_product=sensor histidine kinase | resolution=uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
[UNRESOLVED] standard_name=STAS domain-containing protein CDS | location=159776-160097(-) | final_gene=unknown_gene | final_product=STAS domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=U32 family peptidase CDS | location=160673-163472(+) | final_gene=unknown_gene | final_product=U32 family peptidase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=WecB/TagA/CpsF family glycosyltransferase CDS | location=164142-164883(-) | final_gene=unknown_gene | final_product=WecB/TagA/CpsF family glycosyltransferase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=HU family DNA-binding protein CDS | location=165185-165461(-) | final_gene=unknown_gene | final_product=HU family DNA-binding protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=pentapeptide repeat-containing protein CDS | location=166186-166981(+) | final_gene=unk5 | final_product=pentapeptide repeat-containing protein | resolution=uniprot_product_to_gene:unk5:15
[UNRESOLVED] standard_name=SirB1 family protein CDS | location=167055-167877(+) | final_gene=unknown_gene | final_product=SirB1 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=TIGR04168 family protein CDS | location=167981-168926(+) | final_gene=unknown_gene | final_product=TIGR04168 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=glyoxalase-like domain protein CDS | location=168948-169512(-) | final_gene=unknown_gene | final_product=glyoxalase-like domain protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=grxD CDS | location=169650-169974(-) | final_gene=grxD | final_product=Glutaredoxin 4 | resolution=no_change
[CHANGED] standard_name=grxD gene | location=169650-169974(-) | final_gene=grxD | final_product=grxD gene | resolution=no_change
[CHANGED] standard_name=BolA family protein CDS | location=170219-170471(-) | final_gene=bolA | final_product=BolA family protein | resolution=uniprot_product_to_gene:bolA:5
[UNRESOLVED] standard_name=class I SAM-dependent methyltransferase CDS | location=170622-171879(-) | final_gene=unknown_gene | final_product=class I SAM-dependent methyltransferase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=Crp/Fnr family transcriptional regulator CDS | location=171872-172580(-) | final_gene=unknown_gene | final_product=Crp/Fnr family transcriptional regulator | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=sugar phosphate nucleotidyltransferase CDS | location=173218-175771(-) | final_gene=unknown_gene | final_product=sugar phosphate nucleotidyltransferase | resolution=fallback_unknown_gene
[CHANGED] standard_name=corA CDS | location=176214-177417(-) | final_gene=corA | final_product=magnesium/cobalt transporter CorA | resolution=no_change
[UNRESOLVED] standard_name=S-layer homology domain-containing protein CDS | location=177490-180268(-) | final_gene=unknown_gene | final_product=S-layer homology domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=S-layer homology domain-containing protein CDS | location=180396-182508(-) | final_gene=unknown_gene | final_product=S-layer homology domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF4079 domain-containing protein CDS | location=182800-183268(-) | final_gene=unknown_gene | final_product=DUF4079 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=nitroreductase family protein CDS | location=183468-184080(+) | final_gene=nox | final_product=nitroreductase family protein | resolution=uniprot_product_to_gene:nox:5
[CHANGED] standard_name=peptidase CDS | location=184205-184943(-) | final_gene=lspA | final_product=peptidase | resolution=uniprot_product_to_gene:lspA:564,hofD:3,lepB:3,lepB1:3,lepB2:3
[CHANGED] standard_name=cation:proton antiporter CDS | location=185200-186571(-) | final_gene=ybaL | final_product=cation:proton antiporter | resolution=uniprot_product_to_gene:ybaL:1
[CHANGED] standard_name=SulP family inorganic anion transporter CDS | location=186779-188453(-) | final_gene=bicA | final_product=SulP family inorganic anion transporter | resolution=no_change
[UNRESOLVED] standard_name=GUN4 domain-containing protein CDS | location=189058-189808(-) | final_gene=unknown_gene | final_product=GUN4 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=MraY family glycosyltransferase CDS | location=189818-190868(-) | final_gene=unknown_gene | final_product=MraY family glycosyltransferase | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=aroB CDS | location=190997-192098(-) | final_gene=aroB | final_product=3-dehydroquinate synthase | resolution=no_change
[CHANGED] standard_name=aroB gene | location=190997-192098(-) | final_gene=aroB | final_product=aroB gene | resolution=no_change
[CHANGED] standard_name=cytochrome b6-f complex subunit PetL CDS | location=192229-192325(+) | final_gene=petL | final_product=cytochrome b6-f complex subunit PetL | resolution=uniprot_product_to_gene:petL:336
[CHANGED] standard_name=sufR CDS | location=193723-194398(-) | final_gene=sufR | final_product=iron-sulfur cluster biosynthesis transcriptional regulator SufR | resolution=no_change
[UNRESOLVED] standard_name=ferredoxin-thioredoxin reductase catalytic domain-containing protein CDS | location=194647-194995(+) | final_gene=unknown_gene | final_product=ferredoxin-thioredoxin reductase catalytic domain-containing protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=sufB CDS | location=195129-196566(+) | final_gene=sufB | final_product=FeS cluster assembly protein SufB | resolution=no_change
[CHANGED] standard_name=sufB gene | location=195129-196566(+) | final_gene=sufB | final_product=sufB gene | resolution=no_change
[UNCHANGED] standard_name=sufC CDS | location=196867-197650(+) | final_gene=sufC | final_product=putative ATP-dependent transporter SufC | resolution=no_change
[CHANGED] standard_name=sufC gene | location=196867-197650(+) | final_gene=sufC | final_product=sufC gene | resolution=no_change
[UNCHANGED] standard_name=sufD CDS | location=197652-199047(+) | final_gene=sufD | final_product=FeS cluster assembly protein SufD | resolution=no_change
[CHANGED] standard_name=sufD gene | location=197652-199047(+) | final_gene=sufD | final_product=sufD gene | resolution=no_change
[UNRESOLVED] standard_name=SufS family cysteine desulfurase CDS | location=199153-200413(+) | final_gene=unknown_gene | final_product=SufS family cysteine desulfurase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF3124 domain-containing protein CDS | location=201768-202428(-) | final_gene=unknown_gene | final_product=DUF3124 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=tetratricopeptide repeat protein CDS | location=202611-204648(-) | final_gene=fxsT | final_product=tetratricopeptide repeat protein | resolution=uniprot_product_to_gene:fxsT:3
[CHANGED] standard_name=tetratricopeptide repeat protein CDS | location=204909-206949(-) | final_gene=fxsT | final_product=tetratricopeptide repeat protein | resolution=uniprot_product_to_gene:fxsT:3
[CHANGED] standard_name=ABC transporter ATP-binding protein CDS | location=207677-209420(+) | final_gene=cbiO | final_product=ABC transporter ATP-binding protein | resolution=uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
[UNRESOLVED] standard_name=mechanosensitive ion channel domain-containing protein CDS | location=209545-210961(+) | final_gene=unknown_gene | final_product=mechanosensitive ion channel domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=alkene reductase CDS | location=211388-212486(+) | final_gene=nemA | final_product=alkene reductase | resolution=uniprot_product_to_gene:nemA:5
[CHANGED] standard_name=carB CDS | location=212644-215944(-) | final_gene=carB | final_product=carbamoyl-phosphate synthase large subunit | resolution=no_change
[UNRESOLVED] standard_name=tRNA-Asp gene | location=216285-216359(+) | final_gene=unknown_gene | final_product=tRNA-Asp gene | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=response regulator transcription factor CDS | location=216727-217453(-) | final_gene=unknown_gene | final_product=response regulator transcription factor | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=photosystem I reaction center subunit II PsaD CDS | location=217889-218339(+) | final_gene=unknown_gene | final_product=photosystem I reaction center subunit II PsaD | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=anthranilate synthase component I family protein CDS | location=218723-220250(+) | final_gene=unknown_gene | final_product=anthranilate synthase component I family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=adenylate/guanylate cyclase domain-containing protein CDS | location=221492-223079(+) | final_gene=unknown_gene | final_product=adenylate/guanylate cyclase domain-containing protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=murI CDS | location=223441-224317(+) | final_gene=murI | final_product=Glutamate racemase | resolution=no_change
[CHANGED] standard_name=murI gene | location=223465-224317(+) | final_gene=murI | final_product=murI gene | resolution=no_change
[UNRESOLVED] standard_name=NADAR family protein CDS | location=224627-225098(+) | final_gene=unknown_gene | final_product=NADAR family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=universal stress protein CDS | location=225343-226186(-) | final_gene=UspA | final_product=universal stress protein | resolution=uniprot_product_to_gene:UspA:5,uspA:5
[CHANGED] standard_name=acyl-CoA thioesterase CDS | location=226857-227301(+) | final_gene=tesA | final_product=acyl-CoA thioesterase | resolution=uniprot_product_to_gene:tesA:5
[UNCHANGED] standard_name=gcvH CDS | location=227440-227833(+) | final_gene=gcvH | final_product=Glycine cleavage system H protein | resolution=no_change
[CHANGED] standard_name=gcvH gene | location=227440-227833(+) | final_gene=gcvH | final_product=gcvH gene | resolution=no_change
[UNRESOLVED] standard_name=FAD-dependent oxidoreductase CDS | location=227838-229137(-) | final_gene=unknown_gene | final_product=FAD-dependent oxidoreductase | resolution=fallback_unknown_gene
