standard_name	issue	gene_feature_gene	gene_feature_product	cds_feature_gene	cds_feature_product	final_gene	final_product	resolution
proton extrusion protein PcxA CDS	resolution				proton extrusion protein PcxA	pcxA	proton extrusion protein PcxA	uniprot_product_to_gene:pcxA:25,pxcA:10
secondary thiamine-phosphate synthase enzyme YjbQ CDS	resolution				secondary thiamine-phosphate synthase enzyme YjbQ	unknown_gene	secondary thiamine-phosphate synthase enzyme YjbQ	fallback_unknown_gene
L,D-transpeptidase CDS	resolution				L,D-transpeptidase	unknown_gene	L,D-transpeptidase	fallback_unknown_gene
bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase CDS	resolution				bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase	eda	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase	uniprot_product_to_gene:eda:5
septum site-determining protein MinC CDS	resolution				septum site-determining protein MinC	minC	septum site-determining protein MinC	uniprot_product_to_gene:minC:597
N-acetylmuramoyl-L-alanine amidase CDS	resolution				N-acetylmuramoyl-L-alanine amidase	amiA	N-acetylmuramoyl-L-alanine amidase	uniprot_product_to_gene:amiA:10
RsmB/NOP family class I SAM-dependent RNA methyltransferase CDS	resolution				RsmB/NOP family class I SAM-dependent RNA methyltransferase	unknown_gene	RsmB/NOP family class I SAM-dependent RNA methyltransferase	fallback_unknown_gene
tetratricopeptide repeat protein CDS	resolution				tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
DUF1361 domain-containing protein CDS	resolution				DUF1361 domain-containing protein	unknown_gene	DUF1361 domain-containing protein	fallback_unknown_gene
YggT family protein CDS	resolution				YggT family protein	yggT	YggT family protein	uniprot_product_to_gene:yggT:5
pentapeptide repeat-containing protein CDS	resolution				pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
AI-2E family transporter CDS	resolution				AI-2E family transporter	unknown_gene	AI-2E family transporter	fallback_unknown_gene
class I SAM-dependent methyltransferase CDS	resolution				class I SAM-dependent methyltransferase	unknown_gene	class I SAM-dependent methyltransferase	fallback_unknown_gene
glycosyltransferase family 4 protein CDS	resolution				glycosyltransferase family 4 protein	unknown_gene	glycosyltransferase family 4 protein	fallback_unknown_gene
YbjN domain-containing protein CDS	resolution				YbjN domain-containing protein	unknown_gene	YbjN domain-containing protein	fallback_unknown_gene
prepilin-type N-terminal cleavage/methylation domain-containing protein YbjN CDS	resolution				prepilin-type N-terminal cleavage/methylation domain-containing protein	unknown_gene	prepilin-type N-terminal cleavage/methylation domain-containing protein	fallback_unknown_gene
RibD family protein CDS	resolution				RibD family protein	unknown_gene	RibD family protein	fallback_unknown_gene
glycosyltransferase family 2 protein CDS	resolution				glycosyltransferase family 2 protein	unknown_gene	glycosyltransferase family 2 protein	fallback_unknown_gene
YccF domain-containing protein CDS	resolution				YccF domain-containing protein	unknown_gene	YccF domain-containing protein	fallback_unknown_gene
glycosyltransferase CDS	resolution				glycosyltransferase	ftsW	glycosyltransferase	uniprot_product_to_gene:ftsW:78,spoVE:3
inositol monophosphatase family protein CDS	resolution				inositol monophosphatase family protein	unknown_gene	inositol monophosphatase family protein	fallback_unknown_gene
STAS domain-containing protein CDS	resolution				STAS domain-containing protein	unknown_gene	STAS domain-containing protein	fallback_unknown_gene
Mini-ribonuclease 3 CDS	resolution				Mini-ribonuclease 3	mrnC	Mini-ribonuclease 3	uniprot_product_to_gene:mrnC:1000
S-layer homology domain-containing protein CDS	resolution				S-layer homology domain-containing protein	unknown_gene	S-layer homology domain-containing protein	fallback_unknown_gene
sugar O-acetyltransferase CDS	resolution				sugar O-acetyltransferase	unknown_gene	sugar O-acetyltransferase	fallback_unknown_gene
DUF2927 domain-containing protein CDS	resolution				DUF2927 domain-containing protein	unknown_gene	DUF2927 domain-containing protein	fallback_unknown_gene
thioredoxin family protein CDS	resolution				thioredoxin family protein	trxA	thioredoxin family protein	uniprot_product_to_gene:trxA:5,txlA:5
CHAT domain-containing protein CDS	resolution				CHAT domain-containing protein	unknown_gene	CHAT domain-containing protein	fallback_unknown_gene
type ISP restriction/modification enzyme CDS	resolution				type ISP restriction/modification enzyme	unknown_gene	type ISP restriction/modification enzyme	fallback_unknown_gene
DUF1816 domain-containing protein CDS	resolution				DUF1816 domain-containing protein	unknown_gene	DUF1816 domain-containing protein	fallback_unknown_gene
isochorismate synthase MenF CDS	resolution				isochorismate synthase MenF	menF	isochorismate synthase MenF	uniprot_product_to_gene:menF:35
menA CDS	resolution			menA_2	2-carboxy-1,4-naphthoquinone phytyltransferase	menA	2-carboxy-1,4-naphthoquinone phytyltransferase	uniprot_product_to_gene:menA:980,ubiA:5
o-succinylbenzoate synthase CDS	resolution				o-succinylbenzoate synthase	menC	o-succinylbenzoate synthase	uniprot_product_to_gene:menC:915,ykfB:20
AMP-binding protein CDS	resolution				AMP-binding protein	unknown_gene	AMP-binding protein	fallback_unknown_gene
menE 2 CDS	resolution			menE_2	2-succinylbenzoate--CoA ligase	menE	2-succinylbenzoate--CoA ligase	uniprot_product_to_gene:menE:110
DUF928 domain-containing protein CDS	resolution				DUF928 domain-containing protein	unknown_gene	DUF928 domain-containing protein	fallback_unknown_gene
CHAT domain-containing protein CDS	resolution				CHAT domain-containing protein	unknown_gene	CHAT domain-containing protein	fallback_unknown_gene
filamentous hemagglutinin N-terminal domain-containing protein CDS	resolution				filamentous hemagglutinin N-terminal domain-containing protein	unknown_gene	filamentous hemagglutinin N-terminal domain-containing protein	fallback_unknown_gene
DUF1822 family protein CDS	resolution				DUF1822 family protein	unknown_gene	DUF1822 family protein	fallback_unknown_gene
S-layer homology domain-containing protein CDS	resolution				S-layer homology domain-containing protein	unknown_gene	S-layer homology domain-containing protein	fallback_unknown_gene
alpha/beta fold hydrolase CDS	resolution				alpha/beta fold hydrolase	unknown_gene	alpha/beta fold hydrolase	fallback_unknown_gene
2TM domain-containing protein CDS	resolution				2TM domain-containing protein	unknown_gene	2TM domain-containing protein	fallback_unknown_gene
ABC transporter ATP-binding protein CDS	resolution				ABC transporter ATP-binding protein	cbiO	ABC transporter ATP-binding protein	uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
iron uptake porin CDS	resolution				iron uptake porin	unknown_gene	iron uptake porin	fallback_unknown_gene
ABC transporter substrate-binding protein CDS	resolution				ABC transporter substrate-binding protein	modA	ABC transporter substrate-binding protein	uniprot_product_to_gene:modA:126,proX:12,zam:6,urtA:5
DUF1517 domain-containing protein CDS	resolution				DUF1517 domain-containing protein	unknown_gene	DUF1517 domain-containing protein	fallback_unknown_gene
helix-turn-helix domain-containing protein CDS	resolution				helix-turn-helix domain-containing protein	unknown_gene	helix-turn-helix domain-containing protein	fallback_unknown_gene
helix-turn-helix domain-containing protein CDS	resolution				helix-turn-helix domain-containing protein	unknown_gene	helix-turn-helix domain-containing protein	fallback_unknown_gene
helix-turn-helix domain-containing protein CDS	resolution				helix-turn-helix domain-containing protein	unknown_gene	helix-turn-helix domain-containing protein	fallback_unknown_gene
phosphate ABC transporter permease CDS	resolution				phosphate ABC transporter permease	unknown_gene	phosphate ABC transporter permease	fallback_unknown_gene
tetratricopeptide repeat protein CDS	resolution	ycf3 3		ycf3 3	tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
magnesium chelatase subunit H CDS	resolution				magnesium chelatase subunit H	bchH	magnesium chelatase subunit H	uniprot_product_to_gene:bchH:10
DUF5340 family protein CDS	resolution				DUF5340 family protein	unknown_gene	DUF5340 family protein	fallback_unknown_gene
TVP38/TMEM64 family protein CDS	resolution				TVP38/TMEM64 family protein	unknown_gene	TVP38/TMEM64 family protein	fallback_unknown_gene
histidine kinase CDS	resolution				histidine kinase	sasA	histidine kinase	uniprot_product_to_gene:sasA:24,cikA:9,amt:6,hik2:6,CphB:5
clpS 1 CDS	resolution			clpS_1	ATP-dependent Clp protease adapter protein ClpS	clpS	ATP-dependent Clp protease adapter protein ClpS	uniprot_product_to_gene:clpS:930,clpS1:5
GUN4 domain-containing protein CDS	resolution				GUN4 domain-containing protein	unknown_gene	GUN4 domain-containing protein	fallback_unknown_gene
glycosyltransferase family 39 protein CDS	resolution				glycosyltransferase family 39 protein	unknown_gene	glycosyltransferase family 39 protein	fallback_unknown_gene
SDR family oxidoreductase CDS	resolution				SDR family oxidoreductase	bdcA	SDR family oxidoreductase	uniprot_product_to_gene:bdcA:5
FAD-dependent thymidylate synthase CDS	resolution				FAD-dependent thymidylate synthase	thyX	FAD-dependent thymidylate synthase	uniprot_product_to_gene:thyX:500,thy1:35,THY1:5
cob(I)yrinic acid a,c-diamide adenosyltransferase CDS	resolution				cob(I)yrinic acid a,c-diamide adenosyltransferase	cobO	cob(I)yrinic acid a,c-diamide adenosyltransferase	uniprot_product_to_gene:cobO:485,btuR:10
Calx-beta domain-containing protein CDS	resolution				Calx-beta domain-containing protein	unknown_gene	Calx-beta domain-containing protein	fallback_unknown_gene
NAD(P)H-quinone oxidoreductase subunit 4 CDS	resolution				NAD(P)H-quinone oxidoreductase subunit 4	ndhD	NAD(P)H-quinone oxidoreductase subunit 4	uniprot_product_to_gene:ndhD:10,nuoM:5
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
CIA30 family protein CDS	resolution				CIA30 family protein	unknown_gene	CIA30 family protein	fallback_unknown_gene
L-threonylcarbamoyladenylate synthase CDS	resolution				L-threonylcarbamoyladenylate synthase	ywlC	L-threonylcarbamoyladenylate synthase	uniprot_product_to_gene:ywlC:20,rimN:10,sua5:10,tsaC:5
AAA family ATPase CDS	resolution				AAA family ATPase	unknown_gene	AAA family ATPase	fallback_unknown_gene
Fe(3+) ABC transporter substrate-binding protein CDS	resolution				Fe(3+) ABC transporter substrate-binding protein	unknown_gene	Fe(3+) ABC transporter substrate-binding protein	fallback_unknown_gene
LD-carboxypeptidase CDS	resolution				LD-carboxypeptidase	unknown_gene	LD-carboxypeptidase	fallback_unknown_gene
sensor histidine kinase CDS	resolution				sensor histidine kinase	sasA	sensor histidine kinase	uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
STAS domain-containing protein CDS	resolution				STAS domain-containing protein	unknown_gene	STAS domain-containing protein	fallback_unknown_gene
U32 family peptidase CDS	resolution				U32 family peptidase	unknown_gene	U32 family peptidase	fallback_unknown_gene
WecB/TagA/CpsF family glycosyltransferase CDS	resolution				WecB/TagA/CpsF family glycosyltransferase	unknown_gene	WecB/TagA/CpsF family glycosyltransferase	fallback_unknown_gene
HU family DNA-binding protein CDS	resolution				HU family DNA-binding protein	unknown_gene	HU family DNA-binding protein	fallback_unknown_gene
pentapeptide repeat-containing protein CDS	resolution				pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
SirB1 family protein CDS	resolution				SirB1 family protein	unknown_gene	SirB1 family protein	fallback_unknown_gene
TIGR04168 family protein CDS	resolution				TIGR04168 family protein	unknown_gene	TIGR04168 family protein	fallback_unknown_gene
glyoxalase-like domain protein CDS	resolution				glyoxalase-like domain protein	unknown_gene	glyoxalase-like domain protein	fallback_unknown_gene
BolA family protein CDS	resolution				BolA family protein	bolA	BolA family protein	uniprot_product_to_gene:bolA:5
class I SAM-dependent methyltransferase CDS	resolution				class I SAM-dependent methyltransferase	unknown_gene	class I SAM-dependent methyltransferase	fallback_unknown_gene
Crp/Fnr family transcriptional regulator CDS	resolution				Crp/Fnr family transcriptional regulator	unknown_gene	Crp/Fnr family transcriptional regulator	fallback_unknown_gene
sugar phosphate nucleotidyltransferase CDS	resolution				sugar phosphate nucleotidyltransferase	unknown_gene	sugar phosphate nucleotidyltransferase	fallback_unknown_gene
S-layer homology domain-containing protein CDS	resolution				S-layer homology domain-containing protein	unknown_gene	S-layer homology domain-containing protein	fallback_unknown_gene
S-layer homology domain-containing protein CDS	resolution				S-layer homology domain-containing protein	unknown_gene	S-layer homology domain-containing protein	fallback_unknown_gene
DUF4079 domain-containing protein CDS	resolution				DUF4079 domain-containing protein	unknown_gene	DUF4079 domain-containing protein	fallback_unknown_gene
nitroreductase family protein CDS	resolution				nitroreductase family protein	nox	nitroreductase family protein	uniprot_product_to_gene:nox:5
peptidase CDS	resolution				peptidase	lspA	peptidase	uniprot_product_to_gene:lspA:564,hofD:3,lepB:3,lepB1:3,lepB2:3
cation:proton antiporter CDS	resolution				cation:proton antiporter	ybaL	cation:proton antiporter	uniprot_product_to_gene:ybaL:1
GUN4 domain-containing protein CDS	resolution				GUN4 domain-containing protein	unknown_gene	GUN4 domain-containing protein	fallback_unknown_gene
MraY family glycosyltransferase CDS	resolution				MraY family glycosyltransferase	unknown_gene	MraY family glycosyltransferase	fallback_unknown_gene
cytochrome b6-f complex subunit PetL CDS	resolution				cytochrome b6-f complex subunit PetL	petL	cytochrome b6-f complex subunit PetL	uniprot_product_to_gene:petL:336
ferredoxin-thioredoxin reductase catalytic domain-containing protein CDS	resolution				ferredoxin-thioredoxin reductase catalytic domain-containing protein	unknown_gene	ferredoxin-thioredoxin reductase catalytic domain-containing protein	fallback_unknown_gene
SufS family cysteine desulfurase CDS	resolution				SufS family cysteine desulfurase	unknown_gene	SufS family cysteine desulfurase	fallback_unknown_gene
DUF3124 domain-containing protein CDS	resolution				DUF3124 domain-containing protein	unknown_gene	DUF3124 domain-containing protein	fallback_unknown_gene
tetratricopeptide repeat protein CDS	resolution				tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
tetratricopeptide repeat protein CDS	resolution				tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
ABC transporter ATP-binding protein CDS	resolution				ABC transporter ATP-binding protein	cbiO	ABC transporter ATP-binding protein	uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
mechanosensitive ion channel domain-containing protein CDS	resolution				mechanosensitive ion channel domain-containing protein	unknown_gene	mechanosensitive ion channel domain-containing protein	fallback_unknown_gene
alkene reductase CDS	resolution				alkene reductase	nemA	alkene reductase	uniprot_product_to_gene:nemA:5
tRNA-Asp gene	resolution					unknown_gene	tRNA-Asp gene	fallback_unknown_gene
response regulator transcription factor CDS	resolution				response regulator transcription factor	unknown_gene	response regulator transcription factor	fallback_unknown_gene
photosystem I reaction center subunit II PsaD CDS	resolution				photosystem I reaction center subunit II PsaD	unknown_gene	photosystem I reaction center subunit II PsaD	fallback_unknown_gene
anthranilate synthase component I family protein CDS	resolution				anthranilate synthase component I family protein	unknown_gene	anthranilate synthase component I family protein	fallback_unknown_gene
adenylate/guanylate cyclase domain-containing protein CDS	resolution				adenylate/guanylate cyclase domain-containing protein	unknown_gene	adenylate/guanylate cyclase domain-containing protein	fallback_unknown_gene
NADAR family protein CDS	resolution				NADAR family protein	unknown_gene	NADAR family protein	fallback_unknown_gene
universal stress protein CDS	resolution				universal stress protein	UspA	universal stress protein	uniprot_product_to_gene:UspA:5,uspA:5
acyl-CoA thioesterase CDS	resolution				acyl-CoA thioesterase	tesA	acyl-CoA thioesterase	uniprot_product_to_gene:tesA:5
FAD-dependent oxidoreductase CDS	resolution				FAD-dependent oxidoreductase	unknown_gene	FAD-dependent oxidoreductase	fallback_unknown_gene
translation initiation factor CDS	resolution				translation initiation factor	infC	translation initiation factor	uniprot_product_to_gene:infC:231,infB:201,infA:117,yciH:13,sui1:6
HAD family hydrolase CDS	resolution				HAD family hydrolase	unknown_gene	HAD family hydrolase	fallback_unknown_gene
nucleoside 2-deoxyribosyltransferase CDS	resolution				nucleoside 2-deoxyribosyltransferase	unknown_gene	nucleoside 2-deoxyribosyltransferase	fallback_unknown_gene
ArsR/SmtB family transcription factor CDS	resolution				ArsR/SmtB family transcription factor	unknown_gene	ArsR/SmtB family transcription factor	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
MarR family winged helix-turn-helix transcriptional regulator CDS	resolution				MarR family winged helix-turn-helix transcriptional regulator	unknown_gene	MarR family winged helix-turn-helix transcriptional regulator	fallback_unknown_gene
HlyD family secretion protein CDS	resolution				HlyD family secretion protein	unknown_gene	HlyD family secretion protein	fallback_unknown_gene
DHA2 family efflux MFS transporter permease subunit CDS	resolution				DHA2 family efflux MFS transporter permease subunit	unknown_gene	DHA2 family efflux MFS transporter permease subunit	fallback_unknown_gene
helix-turn-helix domain-containing protein CDS	resolution				helix-turn-helix domain-containing protein	unknown_gene	helix-turn-helix domain-containing protein	fallback_unknown_gene
XisI protein CDS	resolution				XisI protein	unknown_gene	XisI protein	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
adenylate/guanylate cyclase domain-containing protein CDS	resolution				adenylate/guanylate cyclase domain-containing protein	unknown_gene	adenylate/guanylate cyclase domain-containing protein	fallback_unknown_gene
transglutaminaseTgpA domain-containing protein CDS	resolution				transglutaminaseTgpA domain-containing protein	unknown_gene	transglutaminaseTgpA domain-containing protein	fallback_unknown_gene
HAD family hydrolase CDS	resolution				HAD family hydrolase	unknown_gene	HAD family hydrolase	fallback_unknown_gene
tRNA-Ala gene	resolution					unknown_gene	tRNA-Ala gene	fallback_unknown_gene
ATP-grasp domain-containing protein CDS	resolution				ATP-grasp domain-containing protein	mysC	ATP-grasp domain-containing protein	uniprot_product_to_gene:mysC:65
type II secretion system F family protein CDS	resolution				type II secretion system F family protein	unknown_gene	type II secretion system F family protein	fallback_unknown_gene
type IV pilus twitching motility protein PilT CDS	resolution				type IV pilus twitching motility protein PilT	unknown_gene	type IV pilus twitching motility protein PilT	fallback_unknown_gene
GspE/PulE family protein CDS	resolution				GspE/PulE family protein	unknown_gene	GspE/PulE family protein	fallback_unknown_gene
dnaK CDS	resolution			dnaK_1	Chaperone protein DnaK	dnaK	Chaperone protein DnaK	uniprot_product_to_gene:dnaK:665,dnaK3:43,dnaK2:38,dnaK1:18,dnaK4:5
dnaJ 2 CDS	resolution			dnaJ_2	Chaperone protein DnaJ	dnaJ	Chaperone protein DnaJ	uniprot_product_to_gene:dnaJ:935,dnaJ1:3,dnaJ2:3
sulfurtransferase TusA family protein CDS	resolution				sulfurtransferase TusA family protein	unknown_gene	sulfurtransferase TusA family protein	fallback_unknown_gene
pentapeptide repeat-containing protein CDS	resolution				pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
ArsR/SmtB family transcription factor CDS	resolution				ArsR/SmtB family transcription factor	unknown_gene	ArsR/SmtB family transcription factor	fallback_unknown_gene
NUDIX hydrolase CDS	resolution				NUDIX hydrolase	unknown_gene	NUDIX hydrolase	fallback_unknown_gene
alpha/beta fold hydrolase CDS	resolution				alpha/beta fold hydrolase	unknown_gene	alpha/beta fold hydrolase	fallback_unknown_gene
MotA/TolQ/ExbB proton channel family protein CDS	resolution				MotA/TolQ/ExbB proton channel family protein	unknown_gene	MotA/TolQ/ExbB proton channel family protein	fallback_unknown_gene
tRNA-Val gene	resolution					unknown_gene	tRNA-Val gene	fallback_unknown_gene
pentapeptide repeat-containing protein CDS	resolution				pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
glycosyltransferase family 2 protein CDS	resolution				glycosyltransferase family 2 protein	unknown_gene	glycosyltransferase family 2 protein	fallback_unknown_gene
metal-dependent hydrolase CDS	resolution				metal-dependent hydrolase	unknown_gene	metal-dependent hydrolase	fallback_unknown_gene
GFA family protein CDS	resolution				GFA family protein	unknown_gene	GFA family protein	fallback_unknown_gene
type II toxin-antitoxin system VapC family toxin CDS	resolution				type II toxin-antitoxin system VapC family toxin	unknown_gene	type II toxin-antitoxin system VapC family toxin	fallback_unknown_gene
tRNA-Arg gene	resolution					unknown_gene	tRNA-Arg gene	fallback_unknown_gene
GNAT family N-acetyltransferase CDS	resolution				GNAT family N-acetyltransferase	unknown_gene	GNAT family N-acetyltransferase	fallback_unknown_gene
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
diguanylate cyclase CDS	resolution				diguanylate cyclase	dosC	diguanylate cyclase	uniprot_product_to_gene:dosC:3
deoxyhypusine synthase family protein CDS	resolution				deoxyhypusine synthase family protein	unknown_gene	deoxyhypusine synthase family protein	fallback_unknown_gene
fasciclin domain-containing protein CDS	resolution				fasciclin domain-containing protein	unknown_gene	fasciclin domain-containing protein	fallback_unknown_gene
DUF928 domain-containing protein CDS	resolution				DUF928 domain-containing protein	unknown_gene	DUF928 domain-containing protein	fallback_unknown_gene
CoA-binding protein CDS	resolution				CoA-binding protein	yccU	CoA-binding protein	uniprot_product_to_gene:yccU:5
tRNA-(ms[2]io[6]A)-hydroxylase CDS	resolution				tRNA-(ms[2]io[6]A)-hydroxylase	miaE	tRNA-(ms[2]io[6]A)-hydroxylase	uniprot_product_to_gene:miaE:37
homoserine dehydrogenase CDS	resolution				homoserine dehydrogenase	hom	homoserine dehydrogenase	uniprot_product_to_gene:hom:80,thrA:75
DUF4332 domain-containing protein CDS	resolution				DUF4332 domain-containing protein	unknown_gene	DUF4332 domain-containing protein	fallback_unknown_gene
PAS domain-containing protein CDS	resolution				PAS domain-containing protein	unknown_gene	PAS domain-containing protein	fallback_unknown_gene
Hpt domain-containing protein CDS	resolution				Hpt domain-containing protein	unknown_gene	Hpt domain-containing protein	fallback_unknown_gene
translocation/assembly module TamB domain-containing protein CDS	resolution				translocation/assembly module TamB domain-containing protein	unknown_gene	translocation/assembly module TamB domain-containing protein	fallback_unknown_gene
LysE family translocator CDS	resolution				LysE family translocator	unknown_gene	LysE family translocator	fallback_unknown_gene
tyrosine-type recombinase/integrase CDS	resolution				tyrosine-type recombinase/integrase	unknown_gene	tyrosine-type recombinase/integrase	fallback_unknown_gene
2TM domain-containing protein CDS	resolution				2TM domain-containing protein	unknown_gene	2TM domain-containing protein	fallback_unknown_gene
tetratricopeptide repeat protein CDS	resolution				tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
PhoX family phosphatase CDS	resolution				PhoX family phosphatase	unknown_gene	PhoX family phosphatase	fallback_unknown_gene
transposase CDS	resolution				transposase	tnpB	transposase	uniprot_product_to_gene:tnpB:5
ROK family protein CDS	resolution				ROK family protein	unknown_gene	ROK family protein	fallback_unknown_gene
DUF2809 domain-containing protein CDS	resolution				DUF2809 domain-containing protein	unknown_gene	DUF2809 domain-containing protein	fallback_unknown_gene
ParA family protein gene	resolution					unknown_gene	ParA family protein gene	fallback_unknown_gene
cytochrome b/b6 domain-containing protein CDS	resolution				cytochrome b/b6 domain-containing protein	petB	cytochrome b/b6 domain-containing protein	uniprot_product_to_gene:petB:5
manganese efflux pump MntP family protein CDS	resolution				manganese efflux pump MntP family protein	unknown_gene	manganese efflux pump MntP family protein	fallback_unknown_gene
mechanosensitive ion channel family protein CDS	resolution				mechanosensitive ion channel family protein	unknown_gene	mechanosensitive ion channel family protein	fallback_unknown_gene
NUDIX hydrolase CDS	resolution				NUDIX hydrolase	unknown_gene	NUDIX hydrolase	fallback_unknown_gene
DedA family protein CDS	resolution				DedA family protein	unknown_gene	DedA family protein	fallback_unknown_gene
NAD-dependent epimerase/dehydratase family protein CDS	resolution				NAD-dependent epimerase/dehydratase family protein	unknown_gene	NAD-dependent epimerase/dehydratase family protein	fallback_unknown_gene
DUF2470 domain-containing protein CDS	resolution				DUF2470 domain-containing protein	unknown_gene	DUF2470 domain-containing protein	fallback_unknown_gene
NAD(P)H-hydrate dehydratase CDS	resolution				NAD(P)H-hydrate dehydratase	nnrD	NAD(P)H-hydrate dehydratase	uniprot_product_to_gene:nnrD:108,nnrE:88,nnr:15
YcjF family protein CDS	resolution				YcjF family protein	unknown_gene	YcjF family protein	fallback_unknown_gene
GNAT family N-acetyltransferase CDS	resolution				GNAT family N-acetyltransferase	unknown_gene	GNAT family N-acetyltransferase	fallback_unknown_gene
transglycosylase SLT domain-containing protein CDS	resolution				transglycosylase SLT domain-containing protein	unknown_gene	transglycosylase SLT domain-containing protein	fallback_unknown_gene
adenosine deaminase CDS	resolution				adenosine deaminase	add	adenosine deaminase	uniprot_product_to_gene:add:20,tadA:6
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
phosphoketolase CDS	resolution				phosphoketolase	xfp	phosphoketolase	uniprot_product_to_gene:xfp:3,xpkA:3
phosphoketolase gene	resolution					unknown_gene	phosphoketolase gene	fallback_unknown_gene
DNA adenine methylase CDS	resolution				DNA adenine methylase	unknown_gene	DNA adenine methylase	fallback_unknown_gene
HNH endonuclease CDS	resolution				HNH endonuclease	unknown_gene	HNH endonuclease	fallback_unknown_gene
helix-turn-helix domain-containing protein CDS	resolution				helix-turn-helix domain-containing protein	unknown_gene	helix-turn-helix domain-containing protein	fallback_unknown_gene
sensor histidine kinase CDS	resolution				sensor histidine kinase	sasA	sensor histidine kinase	uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
GDSL-type esterase/lipase family protein CDS	resolution				GDSL-type esterase/lipase family protein	unknown_gene	GDSL-type esterase/lipase family protein	fallback_unknown_gene
anthranilate phosphoribosyltransferase family protein CDS	resolution				anthranilate phosphoribosyltransferase family protein	unknown_gene	anthranilate phosphoribosyltransferase family protein	fallback_unknown_gene
DUF3172 domain-containing protein CDS	resolution				DUF3172 domain-containing protein	unknown_gene	DUF3172 domain-containing protein	fallback_unknown_gene
Ycf66 family protein CDS	resolution				Ycf66 family protein	unknown_gene	Ycf66 family protein	fallback_unknown_gene
ABC transporter ATP-binding protein CDS	resolution				ABC transporter ATP-binding protein	cbiO	ABC transporter ATP-binding protein	uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
ABC transporter permease CDS	resolution				ABC transporter permease	modB	ABC transporter permease	uniprot_product_to_gene:modB:45,cysW:33,ntrB:9
hldE 1 CDS	resolution			hldE_1	Bifunctional protein HldE	rfaE2	Bifunctional protein HldE	uniprot_product_to_gene:rfaE2:50,hldE:30,hisB:5,rfaE:5,rfaE1:5
AAA family ATPase CDS	resolution				AAA family ATPase	unknown_gene	AAA family ATPase	fallback_unknown_gene
SAP domain-containing protein CDS	resolution				SAP domain-containing protein	unknown_gene	SAP domain-containing protein	fallback_unknown_gene
ycf3 6 CDS	resolution			ycf3_6	Photosystem I assembly protein Ycf3	ycf3	Photosystem I assembly protein Ycf3	uniprot_product_to_gene:ycf3:895,ycf:55
DUF192 domain-containing protein CDS	resolution				DUF192 domain-containing protein	unknown_gene	DUF192 domain-containing protein	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
ABC transporter ATP-binding protein CDS	resolution				ABC transporter ATP-binding protein	cbiO	ABC transporter ATP-binding protein	uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
FAD-dependent oxidoreductase CDS	resolution				FAD-dependent oxidoreductase	unknown_gene	FAD-dependent oxidoreductase	fallback_unknown_gene
NIL domain-containing protein CDS	resolution				NIL domain-containing protein	unknown_gene	NIL domain-containing protein	fallback_unknown_gene
